Product ID (#);Name;$ Price:;Quantity;Category;Description;Production Date (DD/MM/YYYY);Expiration Date (DD/MM/YYYY);Rating:;Status
23;Клюква;7855;163;Фрукты;Отличается низким содержанием натрия, что делает его безопасным для гипертоников.;2016-06-02;2018-02-08;3.9;Delivered
24;Индюшатина;4228;77;Мясо;Отличается стабильностью вкуса и качества в течение всего срока хранения.;1994-06-05;2007-02-15;0.65;Out of Stock
25;Курт;1724;94;Молочные продукты;Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.;2004-04-02;2028-01-09;3.69;Shipping
26;Томская;509;858;Напитки;Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.;2009-03-01;2015-03-05;1.42;Awaiting Review
27;Соевый напиток;1034;125;Напитки;Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.;2015-02-01;2028-08-12;1.93;Awaiting Review
28;Люберецкая;554;548;Напитки;Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.;1999-01-04;2002-01-19;2.43;Awaiting Review
29;Киви;3021;192;Фрукты;Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.;1993-01-07;2000-08-08;3.63;Sold
30;Шубат;1425;958;Молочные продукты;Помогает поддерживать нормальный уровень электролитов в организме.;2000-01-11;2008-01-01;3.74;Cancelled
31;Морс клюквенный;5527;935;Напитки;Часто рекомендуется врачами-диетологами как часть здорового питания.;2015-05-04;2022-06-03;4.95;Available for Pickup
32;Пакеты для лекарств;1947;496;Товары для дома;Подходит для использования в рационе людей с повышенным давлением.;1992-01-01;1993-02-06;1.29;New
33;Копчености;7627;757;Мясо;Помогает поддерживать нормальный уровень электролитов в организме.;2019-01-15;2023-02-02;1.22;Awaiting Payment
34;Брынза;4186;83;Молочные продукты;Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.;2019-01-09;2019-08-06;3.72;Returned
35;Каша из сорго;5695;343;Бакалея;Подходит для людей с непереносимостью лактозы благодаря специальной обработке.;2001-06-17;2002-08-06;1.2;Pending
36;Повидло;3741;421;Бакалея;Отличается стабильностью вкуса и качества в течение всего срока хранения.;1993-03-24;2017-05-01;0.91;Awaiting Review
37;Лавровый лист;7754;130;Бакалея;Обладает антиоксидантными свойствами, защищающими клетки от повреждений.;2022-02-13;2023-06-17;4.62;In Stock
38;Сыр;5623;15;Молочные продукты;Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.;2001-02-10;2017-07-02;0.88;Temporarily Unavailable
39;Творог;4325;599;Молочные продукты;Помогает поддерживать нормальный уровень эстрогенов у женщин.;1997-01-12;2017-02-08;0.82;Awaiting Payment
40;Сыворотка молочная;3562;416;Бакалея;Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.;1995-05-01;2029-09-02;4.16;Pending
41;Ножи столовые;2268;764;Товары для дома;Помогает нормализовать артериальное давление и уровень холестерина.;2005-02-11;2014-03-01;2.66;Backorder
42;Каша из проса;7032;47;Бакалея;Помогает поддерживать нормальный уровень гормонов в организме.;2012-07-19;2013-02-16;2.0;Awaiting Review
43;Курт;1654;422;Молочные продукты;Отличается высокой степенью адаптации к индивидуальным потребностям организма.;2009-09-01;2020-03-13;2.04;In Stock
44;Сыр;3881;474;Молочные продукты;Помогает поддерживать нормальный уровень артериального давления.;2011-01-09;2012-09-15;3.85;Returned
45;Овсянка;8845;393;Бакалея;Используется в косметологии для ухода за кожей и волосами.;1990-06-03;2026-06-05;1.78;Delivered
46;Пакет для заморозки;3476;539;Товары для дома;Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.;2001-01-03;2016-05-10;3.34;Cancelled
47;Айва;8384;739;Фрукты;Идеален для перекусов между основными приемами пищи.;2008-03-04;2009-03-03;1.35;Delivered
48;Мороженое;6520;104;Молочные продукты;Отличается высокой степенью очистки и отсутствия посторонних примесей.;2013-07-13;2019-02-13;2.84;Available for Pickup
49;Моющее средство для пола;1805;554;Товары для дома;Подходит для использования в диетах, направленных на снижение веса.;1990-01-16;2018-06-01;3.42;On Backorder
50;Каймак;4497;549;Молочные продукты;Помогает поддерживать нормальный уровень гемоглобина в крови.;2006-04-06;2016-02-06;3.78;Available for Pickup
51;Редис;2199;825;Овощи;Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.;1994-04-02;2001-10-16;0.52;Refunded
52;Морковь;9900;628;Овощи;Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.;2007-04-11;2016-01-02;1.53;Awaiting Review
53;Шумовки;979;748;Товары для дома;Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.;1998-02-07;2009-08-06;2.79;Temporarily Unavailable
54;Ямс;4646;312;Овощи;Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.;2009-05-23;2012-03-28;2.41;New
55;Чеснок;6521;782;Овощи;Помогает улучшать качество сна и снижать уровень тревожности.;2022-01-11;2024-02-01;4.74;Cancelled
56;Гранат;4641;691;Фрукты;Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.;2018-02-12;2027-01-27;0.72;Pending
57;Владимирская;9918;672;Напитки;Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.;2005-07-07;2022-04-10;2.07;Awaiting Review
58;Каша из теффа;7634;204;Бакалея;Поддерживает иммунитет и общее состояние здоровья.;2003-01-10;2030-08-15;2.39;Shipping
59;Горох;714;602;Овощи;Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.;1993-01-06;1997-05-07;0.72;Delivered
60;Открывалка для бутылок;6718;751;Товары для дома;Отличается низкой вероятностью возникновения побочных эффектов при употреблении.;2021-07-17;2027-02-12;1.25;Refunded
61;Гранат;8252;809;Фрукты;Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.;1993-12-25;2012-05-04;2.87;Delivered
62;Перец болгарский;4941;198;Овощи;Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.;1995-02-06;2030-10-03;1.58;Delivered
63;Адыгейский сыр;1603;428;Молочные продукты;Помогает поддерживать нормальный уровень эстрогенов у женщин.;2020-03-04;2026-05-17;0.72;On Backorder
64;Пакеты для документов;9542;327;Товары для дома;Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.;2019-01-13;2025-09-10;2.16;Awaiting Review
65;Корица молотая;936;418;Бакалея;Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.;2000-02-09;2015-05-12;0.66;Shipping
66;Панчетта;6904;38;Мясо;Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.;2003-03-08;2008-02-05;3.66;Temporarily Unavailable
67;Простокваша;5124;609;Молочные продукты;Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.;2004-09-14;2015-01-10;2.19;Out of Stock
68;Жемчужина Байкала;5061;580;Напитки;Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.;2011-01-03;2013-08-03;4.46;On Backorder
69;Козлятина;3937;879;Мясо;Отличается высокой степенью адаптации к индивидуальным потребностям организма.;2000-03-04;2011-04-01;3.86;Cancelled
70;Оленина;8752;188;Мясо;Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.;2009-04-14;2014-02-02;4.22;New
71;Формы для выпечки;8071;114;Товары для дома;Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.;2020-01-01;2020-09-02;4.23;Temporarily Unavailable
72;Панчетта;6011;422;Мясо;Помогает предотвратить дефицит витаминов и минералов в организме.;2004-01-02;2013-01-04;2.32;Available for Pickup
73;Айран;1886;731;Молочные продукты;Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.;1995-01-02;2029-02-18;2.54;Shipping
74;Сальтисон;174;541;Мясо;Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.;2019-02-01;2030-02-03;0.93;Sold
75;Пахта;9402;636;Молочные продукты;Используется в косметологии для ухода за кожей и волосами.;1997-01-21;2014-01-02;1.74;Shipping
76;Киви;8191;10;Фрукты;Способствует укреплению иммунной системы благодаря содержанию пробиотиков.;2008-01-01;2019-06-22;1.72;Shipping
77;Йогурт;2551;673;Молочные продукты;Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.;2006-01-02;2008-02-03;1.69;Awaiting Review
78;Якутская;5840;422;Напитки;Помогает поддерживать нормальный уровень кортизола, гормона стресса.;1999-04-03;2030-03-10;4.1;In Stock
79;Гатчинская;2052;427;Напитки;Используется в косметологии для ухода за кожей и волосами.;2013-07-02;2017-04-08;0.52;Cancelled
80;Томатная паста;395;457;Бакалея;Является источником незаменимых аминокислот, необходимых для построения мышц.;1998-05-22;2004-01-24;3.92;Available for Pickup
81;Кабачок;5046;350;Овощи;Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.;2009-05-09;2020-02-02;3.25;Out of Stock
82;Владимирская;6392;570;Напитки;Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.;2018-07-01;2019-04-24;1.87;On Backorder
83;Папайя;4207;794;Фрукты;Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.;1995-04-03;2024-01-01;0.68;In Stock
84;Укроп;8968;362;Овощи;Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.;2009-02-19;2028-10-07;4.02;Pending
85;Морковь;8072;592;Овощи;Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.;1991-02-03;2001-09-18;2.95;New
86;Кабачок;4535;407;Овощи;Обладает антиоксидантными свойствами, защищающими клетки от повреждений.;2005-02-02;2028-01-05;1.44;Awaiting Payment
87;Петрушка корневая;9208;119;Овощи;Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.;2013-07-10;2028-01-03;1.34;New
88;Пунш фруктовый;9107;975;Напитки;Помогает поддерживать нормальный уровень кислотности желудка.;1995-01-01;2026-05-11;1.65;Available for Pickup
89;Огурец;7875;952;Овощи;Отличается легкостью в переваривании и усвоении организмом.;2007-01-02;2027-03-03;0.45;Pending
90;Голландский сыр;2326;302;Молочные продукты;Может использоваться в детском питании начиная с раннего возраста.;1992-01-20;2024-11-03;1.64;Shipping
91;Роллы с мясом;4549;589;Мясо;Помогает предотвратить дефицит витаминов и минералов в организме.;2005-02-12;2024-01-03;3.91;Pending
92;Киноа;1935;396;Бакалея;Не содержит консервантов и красителей, что делает его экологически чистым продуктом.;2018-09-22;2020-02-08;4.75;New
93;Любисток сушеный;374;276;Бакалея;Подходит для использования в диетических программах для похудения.;1991-02-03;2019-07-03;2.7;Refunded
94;Клюква;3250;462;Фрукты;Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.;2001-02-13;2009-01-02;4.79;New
95;Чеддер;3689;439;Молочные продукты;Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.;2015-02-07;2028-01-07;2.23;Awaiting Review
96;Бамия;401;825;Овощи;Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.;2014-02-05;2026-01-01;3.04;Returned
97;Самса;4559;401;Мясо;Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.;2018-07-05;2028-03-03;0.38;Backorder
98;Виноград;6995;529;Фрукты;Помогает поддерживать нормальный уровень тестостерона у мужчин.;2012-01-13;2015-01-26;0.21;Temporarily Unavailable
99;Курт;8843;952;Молочные продукты;Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.;2016-01-02;2030-07-01;2.48;Refunded
100;Перец болгарский;1719;772;Овощи;Помогает поддерживать нормальный уровень артериального давления.;2018-06-13;2020-04-13;0.98;Shipping
101;Сахар;5488;253;Бакалея;Богат кальцием, необходимым для укрепления костей и зубов.;2003-03-03;2019-02-02;1.94;Backorder
102;Лук-порей;3014;810;Овощи;Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.;2014-01-02;2029-01-28;1.32;Delivered
103;Каша из дробленой гречихи;9347;931;Бакалея;Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.;1996-08-07;2030-01-09;3.04;Temporarily Unavailable
104;Растительное масло кунжутное;4843;8;Бакалея;Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.;1993-05-01;2024-02-14;0.44;Cancelled
105;Лук-порей;1892;366;Овощи;Обладает мягким вкусом, который нравится многим потребителям.;1993-02-07;2025-01-07;1.57;Returned
106;Курт;3724;929;Молочные продукты;Является источником антиоксидантов, замедляющих процессы старения.;1994-09-10;2009-02-01;0.59;In Stock
107;Бурятская;6755;585;Напитки;Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.;2010-05-04;2017-12-08;2.85;Delivered
108;Сельдерей;621;426;Овощи;Помогает укреплять стенки сосудов и улучшать кровообращение.;2016-07-02;2023-01-01;0.51;Refunded
109;Каша из кускуса;7384;337;Бакалея;Отличается высокими показателями усвояемости организмом.;2012-04-08;2020-01-04;3.98;Returned
110;Южно-Сахалинская;5342;191;Напитки;Помогает поддерживать нормальный уровень электролитов в организме.;2015-01-15;2016-02-05;4.15;Available for Pickup
111;Амарант крупа;5236;259;Бакалея;Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.;1992-01-02;2027-03-03;3.76;In Stock
112;Карамбола;1840;539;Фрукты;Подходит для людей с различными пищевыми предпочтениями и аллергиями.;2009-01-01;2020-01-06;1.88;Delivered
113;Пельмени;6023;396;Мясо;Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.;2014-01-02;2024-10-12;3.47;Cancelled
114;Косулятина;8515;509;Мясо;Подходит для использования в диетах, направленных на снижение веса.;2010-09-25;2024-09-11;2.22;Delivered
115;Кокос;3050;239;Фрукты;Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.;2022-11-21;2027-02-13;0.95;Awaiting Review
116;Душистый перец горошком;1507;429;Бакалея;Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.;2013-04-02;2016-02-12;3.95;Awaiting Review
117;Подставки под горячее;8036;474;Товары для дома;Отличается простотой в использовании и хранении.;2021-01-14;2026-10-08;2.07;Temporarily Unavailable
118;Малина;5003;200;Фрукты;Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.;1996-04-14;2009-05-12;4.62;New
119;Чай зеленый;9248;987;Напитки;Отличается высокими показателями усвояемости организмом.;1997-05-25;2007-02-01;0.06;Backorder
